"","CellLineName","H3K4me0","H3K4me1","H3K4me2","H3K4ac1","H3K56me0","H3K56me1","H3K79me0","H3K79me1","H3K79me2","H3K9me0","H3K9me1","H3K9me2","H3K9me3","H3K27me0","H3K27me1","H3K27me2","H3K27me3","H3K36me0","H3K36me1","H3K36me2","H3K36me3","H3K9ac1","H3K14ac0","H3K14ac1","H3K18ac0","H3K18ac1","H3K23ac0","H3K23ac1","H3K23ub1","H3K27ac1"
"ACH-000878","HCC15_LUNG",0.194538292,-0.025472011,-0.001028761,-4.961805585,0.078060239,0.226949966,-0.354248396,0.049566518,0.204894651,-0.153896304,-0.093229609,-0.3033736355,0.64819191,-0.5273278524,-0.155529182,-0.088225311,0.441611009,0.455423629166667,-0.353365813,-1.18983190975,-0.244124301,0.0377525975,-0.0899532466,0.1441312302,-0.158217262,0.0582146125,-0.3415497065,0.232522441,-0.14016803,-0.47144448175
"ACH-000152","M059K_CENTRAL_NERVOUS_SYSTEM",0.467063956,0.476090325,0.54726206,0.254300809,0.174143821,NA,0.071847615,0.547946657,0.445406361,0.759057256,0.0325851325,-0.346601991,0.090477534,0.8970014198,0.581843493,0.0291475746666667,-0.1307348575,0.516078592833333,0.6088457818,0.7422867405,0.771656221666667,0.440670392,0.467086311,-0.0766109816,NA,0.8143461575,0.4080185085,0.691135251,NA,1.19661550325
"ACH-000264","CALU6_LUNG",0.29883237,0.460625251,0.05171746,-0.021889287,-0.027124907,0.073126459,-0.199521349,0.266550105,0.637721445,-0.071478427,0.16316486,0.117572341,0.6787256765,-0.3143778466,0.2027504705,0.114456529,0.5667870195,-0.218496737166667,-0.1134588762,-0.15847164175,0.303996795,-0.7045523585,0.0439061102,0.0294667266,0.476938734333333,0.1631810795,0.135387044,0.303460491,0.879483292,-0.57905681525
"ACH-000309","SKLU1_LUNG",0.203082125,-0.148487721,0.385210684,-0.003796439,-0.044352679,NA,-0.012933125,0.1513775,0.111741337,0.313431866,-0.058146745,-0.3554460105,-0.693367781,0.1235629122,0.137545606,0.0145471673333333,-0.4673071265,-0.611625370166667,0.2485032608,0.42110653225,0.080092073,0.3087663505,0.2735681328,-0.4674730608,NA,-0.370545517,-0.077794947,-0.5089911095,NA,-0.19488945075
"ACH-000669","SW900_LUNG",-0.373943073,-0.793450456,-0.356847685,0.384565857,-0.19964865,NA,-0.223885136,-0.050215483,-0.298678654,-0.4355304745,-0.0545306595,0.1704264115,-0.0819163815,-0.5882733558,-0.092280026,-0.128376478333333,-1.0457616175,-0.956138066166667,-0.2899431774,0.086754942,-0.704783741333333,-0.9513676305,-0.7698918744,0.2287243806,NA,0.178582457,0.096510158,-0.1969485125,NA,-0.79168404675
"ACH-000425","UACC62_SKIN",-0.153030469,0.153952282,-0.27638512,NA,-0.011367356,0.012538264,-0.186790124,0.145341166,0.137108167,-0.134542135,-0.646082352,-0.1156287055,-0.09802066,-0.6735303196,-0.41744087125,0.066554755,0.7243525035,-0.530010377166667,-0.2432463056,-0.07961472125,-0.331396830666667,-0.1423674755,-0.2992319832,-0.155424548,0.269775275333333,-0.5015565785,-0.2735177815,-0.531722247,1.416692726,-0.57997433925
"ACH-000192","MFE280_ENDOMETRIUM",0.022647144,0.331806072,-0.603891161,0.132210979,0.004415464,NA,0.014498877,-0.293089982,-1.416570185,-0.52108253,-0.068493367,0.091488861,0.1058315915,-0.4729874422,-0.4925702365,-0.17858829,-1.055904722,-1.33634168683333,-0.9076508388,-0.12839416725,-0.370255269333333,-0.194125594,0.0452791908,-0.2798316062,NA,-0.878734629,-0.2831618695,-0.553436022,NA,-1.79946358025
"ACH-000988","MFE319_ENDOMETRIUM",0.334756086,-1.618991263,-1.389965391,0.472367043,0.17593567,NA,-0.092209003,0.506006588,0.921179439,-0.427438479,-0.0974645925,0.3547061715,0.290100346,-0.838476815,-0.10608692475,0.147702481,0.2692394715,-0.703870395833333,-0.0884649298,-0.355196223,-0.450991588666667,-0.593200532,0.0673725574,-0.2566913918,-0.0125431583333334,-0.2329335785,-0.0850489925,0.046143192,-0.425685031,-0.9510403235
"ACH-000879","MFE296_ENDOMETRIUM",0.007749242,-1.372353507,-1.014837867,0.27896451,0.03717021,-0.045481331,-0.029012016,0.192627395,0.815546901,0.2575794335,0.2484242185,-0.0299847015,-0.559664174,0.511480345,0.0586486145,-0.175340583,-0.253257694,0.7672846765,0.3288324674,-0.23252965525,0.107560809333333,0.0803562735,0.1317222762,-0.1330378562,NA,-0.424512923,-0.0445243715,-0.3600927295,NA,0.97024378925
"ACH-000027","GOS3_CENTRAL_NERVOUS_SYSTEM",0.194280728,0.336491276,0.436635948,NA,0.219643692,0.576404629,-0.095869145,0.305685252,0.48265897,-0.0925064615,0.077569797,0.506318854,0.2672059815,-0.3295990114,-0.18908677525,0.244350409666667,0.8362839645,-0.359613007833333,0.00840956400000003,-0.20199263725,0.194494363,0.882334002,0.4124855248,0.2438833444,1.11530411433333,0.3486210415,-0.0306417315,0.5830846035,2.938268682,-0.58534867175
"ACH-000756","GI1_CENTRAL_NERVOUS_SYSTEM",-0.131992873,0.224617858,-0.105299159,1.219517282,-0.122319321,0.096870193,-0.187441118,-0.217929732,0.094708758,0.587244448,0.1227193065,-0.4546071235,-0.701456914,0.1462245712,0.10526423175,0.0485056343333333,-0.2319681015,0.108077888166667,0.2557305254,0.281888065,-0.321198915666667,2.192821602,0.1241632378,0.5745252898,1.039445024,-0.075260237,-0.3037681005,0.4962373305,2.582876138,0.3143287465
"ACH-000030","PC14_LUNG",0.016964538,-0.276041364,-0.046909103,0.126382207,-0.061667675,NA,0.323645705,0.27165879,0.036365479,0.573618732,0.486925432,0.147343951,-0.694401279,0.3734841832,0.122567114,-0.0692690143333333,-0.2465529595,0.2052256875,0.362754279,0.38078768225,1.04889789266667,-0.0386278335,0.0430196048,0.1469239962,NA,1.0786267765,0.5489010955,0.5262378425,NA,1.51454837925
"ACH-000809","KYSE410_OESOPHAGUS",0.083227302,-0.207436546,0.086896006,-4.995509993,-0.042232914,-0.175122834,-0.054277602,-0.163641108,-0.188622278,-0.0235841705,0.034763075,-0.0133447145,-0.3138981585,0.0295939918,0.02378577875,0.191758509333333,-0.1733725775,0.0506289228333333,0.3860114598,0.024215056,0.146242336,-0.4131785035,0.0321000518,-0.3237970406,0.657205639333333,-0.1069416115,-0.132953178,0.016572551,1.990494949,0.57444365525
"ACH-000201","A204_SOFT_TISSUE",0.200946279,-0.311432478,-0.487779098,-5.158972188,0.021062846,0.063200857,0.211393867,-0.154566027,0.249874728,0.3468336665,-0.1552558875,-0.1896914775,0.272523251,0.4494499354,-0.00672817050000001,0.0686296056666667,-0.0197225905,0.3345039865,0.37924818,-0.2238035365,0.770348796333333,-0.007909314,-0.2678839622,0.3744840576,0.507687797333333,0.2201464085,0.3081298875,0.4956742405,0.355747953,0.73307910775
"ACH-000599","PATU8902_PANCREAS",0.042475937,0.092704948,-0.00817149,NA,-0.006250401,0.033299218,0.068049954,-0.129805738,-0.448572434,0.031433412,0.1417789625,0.201780821,-0.117882601,-0.6473991228,-0.10357721025,0.133595176333333,0.1462336885,-0.8799670145,0.0654944224,0.4511936235,0.084323328,0.575462637,-0.016630389,0.3496596816,-0.0829952673333333,0.3237774665,-0.012925875,0.625442784,-0.826464687,0.015866513
"ACH-000789","NCIH810_LUNG",-0.197987414,-0.20448553,-0.546474553,0.48303584,-0.213319479,NA,-0.187931511,-0.349671512,-0.688451675,0.5919067125,-0.1393623555,-0.291872172,-0.3349173335,0.1998363282,0.0558153675,-0.214702998666667,-1.000409275,0.178101274333333,0.4206949538,0.69297970975,-0.364363929,2.023762649,0.075670983,0.6641360172,NA,0.6627209355,-0.0880995855,0.830549709,NA,1.5683484755
"ACH-000062","RERFLCMS_LUNG",-1.25080497,-0.963189241,-1.243696584,-3.677527069,-0.234226816,0.031397175,-0.24483909,-0.032973027,0.278208367,-1.0859693615,-1.3389789225,-1.4063138075,-0.8823784195,-0.1855161166,-0.23374954425,-0.299530781666667,-0.141844258,-0.194420006,-0.401842744,-0.22824423125,0.0136085586666667,-1.550976815,-0.8204225548,-1.6854243756,-0.856097184666667,-1.2321183765,-0.9556271945,-1.5109059175,-0.099462083,-0.250756346
"ACH-000702","L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.272160991,0.175358967,0.825146832,0.25630595,-0.155095209,0.052836249,-0.026941658,-0.224951181,-0.361995781,0.2145468575,0.00206487299999999,-0.4289944625,-0.07305594,0.0194946966,-0.27565208525,-0.122291714,0.564784914,-0.0322713025,-0.787003735,-0.18218588575,-0.158138624,-0.1906169465,0.307452585,-0.4978748324,0.0317461253333333,-1.251000964,-0.4640913265,-1.0135922385,0.548603578,-1.27234143325
"ACH-000243","DANG_PANCREAS",0.065548035,-0.305236394,-0.058976244,0.245434198,-0.068840054,-0.028489419,-0.109684409,-0.036984081,-0.291748758,-0.2590086235,-0.161222155,0.263433261,-0.173106419,0.00606661220000001,0.12840129175,0.200054758333333,-0.6235493735,-0.0312701238333333,0.1846673292,-0.03278618725,-0.286386620666667,-1.110095669,-0.2537306502,-0.322269192,0.848132825333333,-0.6622964715,0.001490777,-0.9411670855,3.09915815,-0.037898116
"ACH-000463","NCIH460_LUNG",-3.603264415,-3.809710319,-4.38417549,NA,0.054976646,NA,0.065125083,0.197320517,0.199882992,-3.4362696305,-3.6447947465,-3.640102655,-3.6290058355,-0.4741686174,-0.14014321425,0.0771106526666667,-0.023868692,-0.596696916166667,-0.3398257558,-0.3433536355,-0.336821142666667,-3.252886567,-3.6532590234,-3.3879647504,NA,-4.0602798055,-4.094001291,-3.504720383,NA,-1.228841719
"ACH-000823","KYSE140_OESOPHAGUS",-0.048049503,-0.199551717,-0.415667797,0.093205141,-0.035763662,NA,-0.165184983,0.027401896,0.02342766,-0.0105461225,0.1086819975,-0.2279881515,-0.323982587,-0.0100540076,0.01698223875,-0.109827647666667,0.3127344825,0.2208126975,0.09362009,-0.09514761425,0.120055788666667,-0.129012174,0.0609915864,-0.2941304014,NA,0.3292120895,0.12279604,0.095923032,NA,0.36472715125
"ACH-000693","KYSE180_OESOPHAGUS",-0.058815563,-0.460419694,-0.249813418,-4.17710046,0.028024973,-0.071584932,0.038171862,-0.465185598,-0.526137909,-0.149807057,-0.0217266025,0.2008389525,-0.1562318095,0.3533635526,0.068762396,-0.0134413843333333,-0.34640684,0.25910705,0.333983232,0.05137293325,0.274286609666667,0.0533632855,-0.0875633146,0.0581380222,-0.141928058666667,0.1231913705,-0.0470354015,-0.007232771,-0.07086509,0.736045127
"ACH-000118","HUPT3_PANCREAS",0.633506858,-0.440624684,-0.350072599,NA,-0.098979757,0.014543851,-0.091648429,-0.224643774,-0.404675398,-0.0755306925,-0.053697186,-0.115659402,0.1826960655,0.1326897452,0.593277054,-0.0682191503333333,-0.044413189,-0.205776582333333,0.1995548788,-0.02936563325,0.332815234,-0.273363318,0.057813287,-0.1920351002,-0.633095896666667,-0.6574351465,-0.53706054,-0.164297599,-1.811441705,-0.524743761
"ACH-000435","EFE184_ENDOMETRIUM",0.104364249,0.441337032,-0.80284046,NA,0.298188039,0.245337041,0.30127379,0.638391525,0.971972676,-0.2870854485,-0.165809171,0.213083691,0.746088676,-0.3524078692,-0.110745811,0.250681018333333,-0.5566752725,-0.844681019,NA,0.33854963375,0.0146834226666667,-0.987006135,0.0161298164,-0.2084211714,NA,-0.632443557,-0.4242255925,-0.563337015,NA,NA
"ACH-000047","GCIY_STOMACH",-0.265888906,0.195532244,0.172706104,0.47176846,0.106773216,1.398899357,0.113434731,0.376423551,1.557737061,0.813563521,-0.2025839725,-0.570261589,0.1551304715,0.3778625464,0.312551567,-0.124110669333333,-0.626369636,0.287749535833333,0.5789711572,0.78609246875,-0.248187395,0.6861645895,0.3468760102,0.00592919800000001,-0.019413698,0.438186759,0.0277651295,0.2900135815,0.182575002,1.37667824275
"ACH-000764","SH10TC_STOMACH",0.373671775,0.6015743,0.456246988,-0.19945072,0.293308562,-0.309960964,-0.102367254,0.35240522,0.999325146,0.0978764115,0.2261111965,0.037094691,0.2565714035,-0.091442204,-0.26279393125,0.0566220866666667,0.699526389,-0.414659448166667,-0.207137097,0.067978782,1.21624754333333,-0.634133095,0.1273772592,-0.1339690162,0.624591917666667,0.0318784895,0.2793630545,-0.0834398605,1.545686344,0.0841208227500001
"ACH-000755","HCC2218_BREAST",-0.381898927,0.328464609,-0.169163088,-0.135827021,-0.379412806,-0.021708801,0.38029102,-1.122794836,0.060775271,0.435082428,-0.11535677,-0.5864756125,-0.2229260875,-0.7599664874,-0.581521016,-0.334038959666667,-0.718326905,-0.959499038666667,-0.6056659816,-0.6173849275,-0.595108157,-1.065238598,-0.4118394458,-0.2101264102,0.264041128666667,-0.799037488,-0.364963812,-0.9303179815,1.784611997,-1.11887528275
"ACH-000598","KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.100361383,0,0.701962769,-1.066057091,0.028210411,NA,-0.003449954,0.205044005,0.605040929,0.046698448,-0.110232764,-0.1496994045,-0.198070334,0.0876521866,-0.021185218,0.010259468,0.4025043275,-0.0206659565,-0.1774563044,-0.38075127875,-0.031520041,-0.4262223295,0.2294307624,-0.564441316,NA,-0.643129436,-0.0158444025,-0.6105018595,NA,-0.95453740475
"ACH-000588","KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0.407669433,-0.511696448,0.001088399,0.338573662,0.013484838,0.20197135,0.043040664,0.187694523,0.283690228,-0.04482299,-0.0182558235,0.0449439915,-0.137249657,-0.356337777,-0.21104717775,-0.115086076666667,-1.0751469685,-1.48862042633333,-0.1398158436,0.4193682815,-0.319363303666667,-1.1288491865,-0.3492341838,-0.1644592824,0.00326363233333333,-0.143926762,-0.027794044,-0.067437366,-0.087599807,-0.9474971995
"ACH-000576","KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.037123038,-0.129158485,0.655344928,-0.206674651,0.046488305,0.045533323,0.120358662,-0.163375881,-0.472765267,-0.304355252,0.014531406,0.3531253475,0.1407541065,0.0442743338,-0.2520992355,0.205930615333333,0.947437249,0.1907436965,-0.3766121538,-0.226997022,0.04548236,0.0270879075,0.040967961,0.0514894452,-0.0236864446666667,-0.667759286,-0.359076557,-0.2868781255,-0.114668541,-0.80894516725
"ACH-000498","KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0.50144459,0.304679825,0.196662753,0.665410486,0.17401363,-0.026890086,0.041016681,0.317383604,0.857316176,0.3244828585,0.095939579,0.855965903,-0.228551966,1.3214823868,0.5736910175,0.145670412666667,-1.240286385,0.515334793833333,0.5215126644,1.1032171355,0.513815194,0.689131726,0.1577176744,0.5370695658,-0.872543615333333,0.554291166,0.054430462,0.9257646615,-3.469438761,1.19881793425
"ACH-000419","KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0.186173101,-0.372893132,0.231724539,0,-0.036901194,-0.021902418,0.162036234,-0.254250127,-0.377395529,-0.0419214785,0.031753021,-0.227596632,-0.149023543,0.0566348988,-0.06870956525,-0.519409491,-2.0486742295,-1.5494291075,-0.0925152666,1.0746523545,-0.955528862333333,-0.553412722,-0.0966309376,-0.2794496042,-0.271976990666667,-0.343314062,0.00719731,-0.584674777,-0.347604162,-0.669971862
"ACH-000445","KNS60_CENTRAL_NERVOUS_SYSTEM",-0.037927959,0.15768689,0.385658708,-0.062776212,-0.037829603,0.072054555,-0.410332999,0.107817305,0.228206183,0.14358879,-0.408949062,-0.3715368865,0.0941195235,1.4490185576,0.325681559,-0.907592679,-1.8727750605,0.702101948333333,0.0650017901999999,0.29704615,0.477120606,0.820805068,0.2550125756,-0.1438016024,0.602422774,0.1655268555,0.023973448,0.28663053,1.517114077,1.26941904825
"ACH-000479","KNS81_CENTRAL_NERVOUS_SYSTEM",0.218139649,0.851066058,0.723364107,-0.062829334,0.084033175,0.10816262,0.106544702,0.452495943,0.41231642,-0.3058976065,0.0711816065,0.1544685925,0.060115796,-0.3166976208,-0.3586985945,-0.00295263633333334,0.797300572,-0.301056839,-0.2415807988,-0.04808682125,0.119873537,0.9223534785,0.4731063622,-0.1122176154,0.811885868333333,-0.3807795355,-0.1325556085,-0.1751065725,2.289422896,-0.35360811375
"ACH-000446","KPNSI9S_AUTONOMIC_GANGLIA",0.176097606,0.279393767,0.329379664,-0.106015819,0.055108989,NA,0.048617472,-0.10459902,-0.714216534,-0.300081733,-0.053699815,-0.0960495055,0.248651012,1.8609714266,-0.09009587925,-2.13778573566667,-3.295046818,-0.0857620093333333,-0.3453549356,0.62370024475,0.646363718333333,-1.2191258405,-0.261563217,-0.3065591358,NA,-0.0708529,0.044898665,-0.260145003,NA,1.56288065675
"ACH-000444","LU99_LUNG",0.170730115,-0.070525496,0.614965426,0.381509922,0.113735389,NA,0.052479831,0.039685036,-0.089589767,0.3801079305,0.208632888,0.118765125,0.2803019115,1.1648975996,0.680380477,-0.457888836,-2.020941901,-0.486558326,0.2613657256,0.89006807525,0.566790665333333,0.281742434,0.2025137126,0.305306403,NA,-0.7824378875,-0.4132887515,0.0922609165,NA,0.12941584325
"ACH-000541","KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0.173833962,-0.18609473,0.344039644,0.317510872,0.105777749,0.07225418,0.251056186,0.021362939,-0.453745977,-0.0707489375,-0.160278253,0.4036881515,0.5585381625,-0.1301104448,-0.15367159475,-0.596432076333333,-1.424806318,-1.72379095916667,-0.2100810382,1.2474706735,-0.508091374,-0.44711469,-0.024796605,0.1384303784,-0.402126836,-0.1825490745,0.1560570585,-0.272441073,-1.338710628,-0.5058487265
"ACH-000351","MKN1_STOMACH",0.167536552,0.529678537,0.752867477,-0.16000042,0.028977168,0.183655328,0.243330053,0.189531771,0.051102582,-0.283368323,-0.1363651205,-0.058798401,-0.0252314535,1.0304431126,0.499627437,-0.444971582,-0.742886778,-0.151147955166667,0.2745929382,0.3753832875,0.606511306,-0.095449999,0.2886469782,-0.528332297,0.101230236333333,-1.2626329525,-0.4717559865,-1.2289583695,1.179853516,-0.13572324525
"ACH-000758","MKN74_STOMACH",0.034329492,0.261486044,0.263616675,0.146742369,0.082328399,0.117466478,-3.62e-05,0.015938788,0.077033055,-1.5711930255,-0.435666212,0.5437051775,1.192281488,-0.163227331,0.125141547,0.219523148,0.527926692,-0.423319914,0.0272230158,0.10865778575,0.256287164,-0.4637453305,-0.4717877558,0.1779405948,-0.517071641,-0.4344430105,-0.249274927,0.1992908335,-2.320132757,-0.64979103275
"ACH-000108","KP3_PANCREAS",-0.295931992,-0.005618976,0.022082616,-0.435970632,-0.420299888,NA,-0.481816486,-0.124136475,0.272191099,-0.856408912,-0.387432095,0.0295896875,-0.204886752,-0.4079037808,-0.18081667275,-0.134297512333333,-0.5146568355,-0.387347466833333,-0.3723339862,0.02278228325,0.047047838,0.2679216385,-0.139110871,-0.3213757022,NA,-0.0611676775,-0.169723538,-0.415209713,NA,0.0603774295
"ACH-000076","NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0.272238543,0.311401559,0.158874361,0.319796696,0.320779123,NA,0.245514282,0.395804234,0.836618249,1.021675132,0.341292036,0.0967148485,0.2527439525,0.001792153,0.17056764075,0.267848410666667,0.7304446325,0.454469384166667,0.0756016368,-0.05265441825,0.512582437333333,0.665405777,0.2327764198,0.7183562786,NA,0.4085248145,0.1021845485,1.233160939,NA,0.36907207575
"ACH-000564","KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.24236101,-0.283271734,-0.037112227,0.526016047,-0.186530006,-0.409745546,0.022253182,-0.221163562,-0.324209788,0.5135820565,0.1050995005,-0.8391875205,-0.283986499,-0.019741368,-0.5525889225,-0.044586999,0.326898484,0.377798528333333,-0.1845605784,-0.89540918225,-0.536378099666667,0.129655117,-0.0353717124,-0.1145632258,0.360245764333333,-0.4863099515,-0.403828729,-0.1727348305,1.261244509,-0.51443904775
"ACH-000472","HSC2_UPPER_AERODIGESTIVE_TRACT",0.039201912,0.072212012,0.157989995,0.111661776,0.09347861,0.037496213,-0.035555943,-0.264941274,-0.687792515,-0.012627032,0.0805667195,-0.0133096055,-0.512518385,0.1479199212,0.1737530005,0.428728230666667,-0.307718994,-0.0528420143333333,0.034033446,-0.02614225775,-0.0212601113333333,0.60581589,0.2257498146,-0.1665787798,-0.267514727,-0.29727532,-0.046857278,-0.3584936175,-0.58639303,-0.60514813325
"ACH-000126","KG1C_CENTRAL_NERVOUS_SYSTEM",0.21103356,0.466197132,0.119742527,-0.284450971,0.116858006,NA,0.000245985,0.47837502,0.717698894,-0.5462061255,-0.007601203,0.0428726885,-0.4833233475,-0.9497680962,-0.61533122575,0.0374230323333333,-0.0923734795,-1.14410426483333,-0.5649760304,-0.0545441185,-1.08098030833333,-0.3032208815,0.2045084686,-0.7235000162,NA,-0.5310583185,-0.060992857,-0.428068726,NA,-1.4669949735
"ACH-000480","HUH7_LIVER",-0.114237931,0.555209369,0.329579208,NA,0.023120208,-0.040404174,0.078234034,0.30999293,0.285113136,-0.7646035455,-0.211960518,0.2931242025,0.7445641135,-0.445634395,0.0830437885,0.194263795,0.0220831155,-0.437938689333333,-0.1701604196,0.05705160075,0.394914744333333,0.285684391,-0.2309183118,0.3696417692,0.352715399,-0.048865317,-0.3805743575,0.5057602835,0.710043711,-0.19911109825
"ACH-000862","KMBC2_URINARY_TRACT",-0.534197585,0.044239462,-0.018729221,-0.482179207,0.094061285,0.041686364,0.153601588,0.348574559,0.580111464,-0.090220774,0.0059807915,0.214966231,-0.490660632,-0.0765647828,-0.02466617375,0.0535593856666667,0.623573254,-0.0335612351666666,-0.3672120094,0.03022089725,-0.137942877333333,-0.179924683,-0.0309702076,-0.184973419,-0.03154197,-0.00570765450000001,0.23599047,-0.1606324005,-0.256757358,-0.81417713925
"ACH-000250","KMRC20_KIDNEY",0.019405249,0.537412716,0.807454695,0.016332761,-0.103883985,-0.231841966,-0.026431944,-0.260736823,-0.298363963,-0.349205477,-0.08506674,0.1606562925,0.5637683285,-0.028283487,0.40524331975,0.0985405036666667,-0.2438765035,-0.256251391166667,0.4068362552,0.304263155,0.681889853333333,-0.092928581,-0.137314098,0.2162036272,-0.932659247,0.290049651,0.1756590835,0.106346347,-2.7818893,0.61799269025
"ACH-000976","HUCCT1_BILIARY_TRACT",-0.120406742,-0.256458012,0.083740671,-0.277379561,0.123724924,NA,-0.061554579,-0.148435438,-0.672122845,0.2503657675,0.00930950800000001,-0.4082160395,-0.072484505,0.2590098406,0.23174572475,-0.00815638866666668,-0.4601386445,-0.142338080666667,0.0957380366,0.04365412125,-0.04976566,0.516769578,0.2354413796,-0.117143656,NA,-0.603245087,-0.2510007785,-0.4659829245,NA,-0.40682611075
"ACH-000773","KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0.090451456,-0.820806046,0.226299102,-0.116202995,0.141556334,NA,0.209154488,-0.345801904,-0.923043163,-0.0562943065,-0.0209880765,0.029711277,0.088992688,-1.0323967016,-0.08923118325,0.591671769666667,-0.240613084,-0.355789940333333,-0.1242920514,-0.2799835275,-1.35935223,0.145857935,0.1715821152,-0.0966703084,NA,-0.216198357,0.0407831025,-0.209539305,NA,-0.93226789975
"ACH-000157","A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.111777325,0.238732416,0.815467859,0.674503375,-0.124715014,0.52384881,0.035747988,-0.286768839,-0.54500792,0.358829565,-0.348983324,-0.6895301555,0.049221221,0.575322353,0.12457065875,-0.130493270666667,0.158943631,0.7662580535,0.508378038,0.16912229575,0.263202600666667,0.564529088,0.1189929284,-0.1453663706,1.23287783466667,0.9627695505,0.390250397,0.595596764,3.652478283,1.3260584115
"ACH-000231","KALS1_CENTRAL_NERVOUS_SYSTEM",0.136586159,0.074206859,-0.061962991,-0.385781589,0.206860753,NA,0.04182463,0.089771601,-0.356001033,-0.523418174,-0.2742086855,0.324417237,0.054211436,0.1294626694,0.07036052825,0.0247612703333333,0.153366443,0.0536675898333333,-0.240294837,-0.147829904,-0.0317836063333333,-0.694286263,0.2795404486,-0.7248542284,NA,-0.4176018425,0.1090265725,-0.639979665,NA,-0.7189778095
"ACH-000990","HEC108_ENDOMETRIUM",-0.072146925,-0.331571687,-0.659979871,-0.100186653,0.43887381,0.912749395,0.21002373,0.620366427,1.271104608,0.0586282955,0.199818665,0.311946095,0.321777628,-0.3810422656,0.0740930655,0.655582072333333,0.7985069885,-0.085743637,0.1979346296,-0.01584393525,-0.232430328333333,0.112009654,0.4048820414,-0.0032099064,-0.272424067,0.115864941,0.4019448955,-0.161405147,-1.066621816,-0.560094132
"ACH-000005","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.289620828,0.636314075,0.70062861,-0.200333442,0.109267299,0.736732574,-0.146263861,-0.093738809,-0.055293717,0.299022746,0.084386981,-0.24750433,-0.343757128,0.3916060072,0.25059706475,-0.121438079666667,0.1803798485,-0.0388431301666667,0.062381791,0.7261314395,0.601911716666667,-0.125897046,0.0365333632,-0.170032874,-1.045817842,-0.225843523,-0.222267658,0.0351028415,-3.214810939,0.45806183225
"ACH-000808","HUH28_BILIARY_TRACT",-0.066337189,-0.28859878,-0.114110792,-0.073908686,-0.0555939,NA,0.062914466,-0.32720349,-0.796029856,-0.1173585605,-0.084572373,-0.1965521995,-0.019190025,0.2371884644,0.390417898,-0.108711449666667,-0.6045202895,0.0133107155,0.0562933982,0.1488625815,0.116426063,0.0570129045,-0.2076997336,0.0634356322,NA,-0.2624904675,-0.330916206,0.058809737,NA,0.02340520325
"ACH-000946","HEC265_ENDOMETRIUM",0.407351743,0.074216536,-0.599253315,0.690606559,0.358990158,NA,0.156906262,0.427451964,0.727192191,0.6069650555,0.22067325,-0.2100672855,-0.202014436,0.3447150878,0.385553697,0.374293632666667,0.779710575,0.6417837855,0.5112329412,-0.26891749825,0.0492133576666667,0.618583785,0.537848671,-0.1241925234,NA,-0.6419688325,0.140732403,-0.467390138,NA,-0.117313694
"ACH-000826","CAL12T_LUNG",-0.139471618,-0.856118756,-2.721085914,-1.36511932,0.291264865,0.059648315,0.327278997,0.038281444,-0.222355018,-0.3275149025,-0.0955385665,-0.2389574735,-0.3083344355,0.5129860416,0.4811133955,0.709661422,0.4456947665,0.381454912,NA,NA,0.129353291666667,-1.4125040675,-0.134057756,-0.8190820222,1.80602270533333,-0.529864629,0.1709363245,-0.7300591075,5.476584424,NA
"ACH-000146","THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0.583203948,0.091007601,0.070754983,0.034083942,-0.001646078,0.810762905,-0.116007649,-0.222343509,-0.703240271,0.1409591195,0.2189275425,0.175515097,-0.2647801435,-0.0336059604,0.10518206975,-0.118730253,0.3215025915,-0.352310178,0.075834464,0.530938928,0.216237878,0.0186971585,-0.1072768094,0.223004319,1.02704052766667,-0.0686667475,-0.113445737,0.1481997855,2.874279991,0.12456692425
"ACH-000697","A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0.259069739,0.120520809,-0.009469788,0.766037537,0.331958442,0.498105962,0.309143129,0.490987226,0.912074803,0.6599908385,0.3672104425,0.329797561,0.260647818,0.2787507588,0.285057959,0.483528094666667,0.6804218495,0.441747897166667,0.1919035758,0.14802421925,0.195103629333333,0.677437884,0.6953399074,0.2226939102,0.251616464333333,0.068407912,0.4175174085,-0.0604545795,0.177539559,-0.1395001465
