"","stripped_cell_line_name","CCLE_Name","alias","COSMIC_ID","lineage","lineage_subtype","lineage_sub_subtype","lineage_molecular_subtype","sex","source","Achilles_n_replicates","cell_line_NNMD","culture_type","culture_medium","cas9_activity","RRID","sample_collection_site","primary_or_metastasis","disease","disease_subtype","age","Sanger_model_ID","additional_info","ISG.score"
"ACH-000441","SH4","SH4_SKIN","",909713,"skin","melanoma","","","Female","ATCC",2,-4.112254705,"Adherent","DMEM;10% FBS;","52.6","CVCL_1692","pleural_effusion","Metastasis","Skin Cancer","Melanoma",60,"SIDM01079","",3.33744736842105
"ACH-000442","RERFLCSQ1","RERFLCSQ1_LUNG","",1298538,"lung","NSCLC","NSCLC_squamous","","Female","HSRRB",NA,NA,"","","","CVCL_1656","lung","Primary","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",74,"SIDM00354","",3.44807894736842
"ACH-000443","OVKATE","OVKATE_OVARY","",1240199,"ovary","ovary_adenocarcinoma","high_grade_serous","","Female","HSRRB",NA,NA,"","","","CVCL_3110","ovary","Primary","Ovarian Cancer","Adenocarcinoma, high grade serous",40,"SIDM00466","",4.29871052631579
"ACH-000444","LU99","LU99_LUNG","",NA,"lung","NSCLC","NSCLC_large_cell","","Male","HSRRB",2,-4.453208328,"Adherent","RPMI; 10% FBS","43","CVCL_3015","pleura","Metastasis","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",63,"SIDM00546","",2.60926315789474
"ACH-000445","KNS60","KNS60_CENTRAL_NERVOUS_SYSTEM","",NA,"central_nervous_system","glioma","glioblastoma","","Male","HSRRB",1,-3.724518151,"Adherent","DMEM; 5% FBS","28.8","CVCL_2798","central_nervous_system","Primary","Brain Cancer","Glioblastoma",55,"","",3.58036842105263
"ACH-000446","KPNSI9S","KPNSI9S_AUTONOMIC_GANGLIA","",NA,"peripheral_nervous_system","neuroblastoma","","","Male","HSRRB",0,-1.049796529,"","","","CVCL_1340","autonomic_ganglia","Metastasis","Neuroblastoma","",NA,"","",3.01868421052632
"ACH-000447","NCIH2228","NCIH2228_LUNG","",687816,"lung","NSCLC","NSCLC_adenocarcinoma","","Female","ATCC",NA,NA,"","","","CVCL_1543","lung","Primary","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",NA,"SIDM00729","",4.23202631578947
"ACH-000448","NCIH1666","NCIH1666_LUNG","",908473,"lung","NSCLC","NSCLC_adenocarcinoma","","Female","ATCC",2,-4.019191492,"Mixed Adherent and Suspension","ACL4 (FBS free)","5.8","CVCL_1485","pleural_effusion","Metastasis","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",50,"SIDM00743","",3.35763157894737
"ACH-000449","MESSA","MESSA_SOFT_TISSUE","",908127,"soft_tissue","uterine_sarcoma","","","Female","ATCC",NA,NA,"","","","CVCL_1404","endometrium","Primary","Sarcoma","Uterine Sarcoma",56,"SIDM00625","",3.112
"ACH-000450","MELHO","MELHO_SKIN","",908124,"skin","melanoma","","","Female","DSMZ",2,-3.003710579,"Adherent","RPMI-1640: 10%FBS","41.4","CVCL_1402","skin","Primary","Skin Cancer","Melanoma",NA,"SIDM00337","",3.06852631578947
"ACH-000451","NCIH2085","NCIH2085_LUNG","",687812,"lung","NSCLC","NSCLC_adenocarcinoma","","Male","ATCC",NA,NA,"","","","CVCL_1523","lung","Primary","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",45,"SIDM00709","",2.57631578947368
"ACH-000452","TE8","TE8_OESOPHAGUS","",753623,"esophagus","esophagus_squamous","","","Male","RIKEN",2,-5.568964953,"Adherent","RPMI-1640: 10%FBS","28.5","CVCL_1766","oesophagus","","Esophageal Cancer","Squamous Cell Carcinoma",NA,"SIDM00326","",3.18389473684211
"ACH-000453","MOLP2","MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"plasma_cell","multiple_myeloma","","","Male","DSMZ",NA,NA,"","","","CVCL_2123","haematopoietic_and_lymphoid_tissue","Primary","Myeloma","Multiple Myeloma",55,"","",3.18373684210526
"ACH-000454","HCC95","HCC95_LUNG","",NA,"lung","NSCLC","NSCLC_squamous","","Male","KCLB",2,-2.985345453,"Adherent","RPMI; 10% FBS","13.3","CVCL_5137","pleural_effusion","Metastasis","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",65,"","",2.77386842105263
"ACH-000455","LN428","LN428_CENTRAL_NERVOUS_SYSTEM","",NA,"central_nervous_system","glioma","glioblastoma","","Male","Academic lab",1,-4.813908262,"","","13.6","CVCL_3959","central_nervous_system","","Brain Cancer","Glioblastoma",NA,"","",3.39836842105263
"ACH-000456","BCPAP","BCPAP_THYROID","",924104,"thyroid","thyroid_carcinoma","papillary","","Female","DSMZ",NA,NA,"","","","CVCL_0153","thyroid","Primary","Thyroid Cancer","Carcinoma, papillary",76,"SIDM00992","",4.21052631578947
"ACH-000457","CAL54","CAL54_KIDNEY","",910952,"kidney","renal_cell_carcinoma","","","Male","DSMZ",NA,NA,"","","","CVCL_1111","pleural_effusion","Metastasis","Kidney Cancer","Renal Cell Carcinoma",75,"SIDM00932","",3.36526315789474
"ACH-000458","CJM","CJM_SKIN","",NA,"skin","melanoma","","","Unknown","RIKEN",2,-3.756952918,"Adherent","Hams F-12; 10% FBS","10.7","CVCL_U797","skin","Metastasis","Skin Cancer","Melanoma",NA,"","",3.77136842105263
"ACH-000459","TUHR10TKB","TUHR10TKB_KIDNEY","",NA,"kidney","renal_cell_carcinoma","","","Male","RIKEN",2,-1.609119178,"Adherent","RPMI-1640: 90.0%","54.8","CVCL_5952","kidney","Primary","Kidney Cancer","Renal Cell Carcinoma",69,"","",5.99934210526316
"ACH-000460","SNU8","SNU8_OVARY","",NA,"ovary","ovary_adenocarcinoma","high_grade_serous","","Female","KCLB",3,-4.807013803,"Adherent","RPMI; 10% FBS","13.1","CVCL_5096","ascites","Metastasis","Ovarian Cancer","Adenocarcinoma, high grade serous",55,"","",4.09431578947368
"ACH-000461","SNU1196","SNU1196_BILIARY_TRACT","",NA,"bile_duct","cholangiocarcinoma","extrahepatic","","Unknown","KCLB",1,-3.450786157,"Adherent","RPMI1640 with L-glutamine (300mg/L), 25mM HEPES and 25mM NaHCO3, 90%; heat inactivated fetal bovine serum (FBS), 10%","17.1","CVCL_5015","biliary_tract","","Bile Duct Cancer","Cholangiocarcinoma, extrahepatic",NA,"SIDM00163","",2.52486842105263
"ACH-000462","NALM1","NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"blood","CML","blast_crisis","","Female","DSMZ",NA,NA,"","","","CVCL_0091","haematopoietic_and_lymphoid_tissue","","Leukemia","Chronic Myelogenous Leukemia (CML), blast crisis",3,"","",3.85173684210526
"ACH-000463","NCIH460","NCIH460_LUNG","",905943,"lung","NSCLC","NSCLC_large_cell","","Male","ATCC",2,-3.179589726,"Adherent","RPMI; 10% FBS","16.9","CVCL_0459","pleural_effusion","Metastasis","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",NA,"SIDM00144","",2.6505
"ACH-000464","CAS1","CAS1_CENTRAL_NERVOUS_SYSTEM","",910943,"central_nervous_system","glioma","glioblastoma","","Male","ICLC",2,-3.512392527,"Adherent","DMEM; 10% FBS","42.9","CVCL_1117","central_nervous_system","Primary","Brain Cancer","Glioblastoma",63,"SIDM00212","",3.04021052631579
"ACH-000465","SKMEL1","SKMEL1_SKIN","",909723,"skin","melanoma","","","Male","ATCC",NA,NA,"","","","CVCL_0068","haematopoietic_and_lymphoid_tissue","Metastasis","Skin Cancer","Melanoma",29,"SIDM01107","",3.04755263157895
"ACH-000466","SNU216","SNU216_STOMACH","",NA,"gastric","gastric_adenocarcinoma","tubular","","Female","KCLB",2,-2.669209864,"Adherent","RPMI-1640; 10%FBS","26.7","CVCL_3946","lymph_node","Metastasis","Gastric Cancer","Adenocarcinoma, tubular",46,"","",3.41655263157895
"ACH-000467","HCC56","HCC56_LARGE_INTESTINE","",1290907,"colorectal","colorectal_adenocarcinoma","","","Unknown","HSRRB",3,-3.819318671,"Adherent","EMEM; 10% FBS","28.1","CVCL_2917","large_intestine","","Colon/Colorectal Cancer","Adenocarcinoma",NA,"SIDM00597","",2.75818421052632
"ACH-000468","PK45H","PK45H_PANCREAS","",NA,"pancreas","exocrine","exocrine_adenocarcinoma","","Unknown","RIKEN",3,-3.640942497,"Adherent","RPMI-1640: 10%FBS","15.9","CVCL_6748","pancreas","Primary","Pancreatic Cancer","Ductal Adenocarcinoma, exocrine",NA,"","",3.22231578947368
"ACH-000469","YH13","YH13_CENTRAL_NERVOUS_SYSTEM","",909905,"central_nervous_system","glioma","glioblastoma","","Male","HSRRB",2,-4.80246423,"Adherent","EMEM: 80.0%; 20%FBS","48.2","CVCL_1795","central_nervous_system","Primary","Brain Cancer","Glioblastoma",40,"SIDM00316","",3.60207894736842
"ACH-000470","SW1463","SW1463_LARGE_INTESTINE","",909748,"colorectal","colorectal_adenocarcinoma","","","Female","ATCC",3,-3.520140217,"Adherent","RPMI-1640: 10%FBS","21.4","CVCL_1718","large_intestine","Primary","Colon/Colorectal Cancer","Adenocarcinoma",66,"SIDM00834","",2.80134210526316
"ACH-000471","LI7","LI7_LIVER","",NA,"liver","","","","Male","RIKEN",2,-5.531055568,"Adherent","RPMI; 10% FBS","6.9","CVCL_3840","liver","","Liver Cancer","",45,"","",3.12334210526316
"ACH-000472","HSC2","HSC2_UPPER_AERODIGESTIVE_TRACT","",753562,"upper_aerodigestive","upper_aerodigestive_squamous","","","Male","HSRRB",2,-5.380784004,"Adherent","EMEM; 10% FBS","17.1","CVCL_1287","upper_aerodigestive_tract","Metastasis","Head and Neck Cancer","Squamous Cell Carcinoma",69,"SIDM00590","",2.92002631578947
"ACH-000473","RT112","RT112_URINARY_TRACT","",909704,"urinary_tract","bladder_carcinoma","bladder_transitional_cell","","Female","DSMZ",2,-3.025176341,"Adherent","RPMI; 10% FBS","32.2","CVCL_1670","urinary_tract","Primary","Bladder Cancer","Transitional Cell Carcinoma",NA,"SIDM00402","",3.26923684210526
"ACH-000475","HUH1","HUH1_LIVER","",1298146,"liver","hepatocellular_carcinoma","hbs_antigen_carrier","","Male","HSRRB",2,-5.58088768,"Adherent","DMEM;10% FBS;","3.9","CVCL_2956","liver","Primary","Liver Cancer","Hepatocellular Carcinoma, HBs-antigen carrier",53,"SIDM00586","",2.71560526315789
"ACH-000476","JHH4","JHH4_LIVER","",1240158,"liver","hepatocellular_carcinoma","","","Male","HSRRB",2,-3.609189375,"Adherent","EMEM; 10% FBS","45.6","CVCL_2787","liver","Primary","Liver Cancer","Hepatocellular Carcinoma",51,"SIDM00616","",3.33792105263158
"ACH-000477","MALME3M","MALME3M_SKIN","",NA,"skin","melanoma","","","Male","ATCC",2,-3.533078118,"Adherent","RPMI; 10% FBS","53.4","CVCL_1438","lung","Metastasis","Skin Cancer","Melanoma",43,"SIDM00011","",3.57276315789474
"ACH-000478","SNU387","SNU387_LIVER","",909736,"liver","hepatocellular_carcinoma","","","Female","ATCC",2,-3.96662024,"Adherent","RPMI; 10% FBS","6","CVCL_0250","liver","Primary","Liver Cancer","Hepatocellular Carcinoma",41,"SIDM01180","",3.43036842105263
"ACH-000479","KNS81","KNS81_CENTRAL_NERVOUS_SYSTEM","",NA,"central_nervous_system","glioma","glioblastoma","","Male","HSRRB",0,-1.854234835,"","","","CVCL_2799","central_nervous_system","Primary","Brain Cancer","Glioblastoma",65,"SIDM00605","",3.61894736842105
"ACH-000480","HUH7","HUH7_LIVER","",907071,"liver","hepatocellular_carcinoma","","","Male","HSRRB",2,-3.868464405,"Adherent","DMEM; 10% FBS","47.9","CVCL_0336","liver","Primary","Liver Cancer","Hepatocellular Carcinoma",57,"SIDM00585","",2.41626315789474
"ACH-000481","NCIH2170","NCIH2170_LUNG","",687815,"lung","NSCLC","NSCLC_squamous","","Male","ATCC",3,-3.466151449,"Adherent","RPMI;10% FBS;","14.4","CVCL_1535","lung","Primary","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",NA,"SIDM00716","",2.55960526315789
"ACH-000482","RERFLCKJ","RERFLCKJ_LUNG","",1298537,"lung","NSCLC","NSCLC_adenocarcinoma","","Male","HSRRB",NA,NA,"","","","CVCL_1654","lung","Primary","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",78,"SIDM00356","",3.90044736842105
"ACH-000483","SNU182","SNU182_LIVER","",1240216,"liver","hepatocellular_carcinoma","","","Male","ATCC",2,-3.714549343,"Adherent","RPMI; 10% FBS","36.6","CVCL_0090","liver","Primary","Liver Cancer","Hepatocellular Carcinoma",24,"SIDM01151","",2.09557894736842
"ACH-000484","VMRCRCW","VMRCRCW_KIDNEY","",1240224,"kidney","renal_cell_carcinoma","","","Male","RIKEN",1,-3.288748419,"Adherent","EMEM; 10% FBS","8.7","CVCL_1790","kidney","Primary","Kidney Cancer","Renal Cell Carcinoma",NA,"SIDM00318","",3.67528947368421
"ACH-000485","GSU","GSU_STOMACH","",NA,"gastric","gastric_adenocarcinoma","","","Male","RIKEN",2,-3.373235935,"Semi-adherent","RPMI-1640: 10%FBS","15.3","CVCL_8877","ascites","Metastasis","Gastric Cancer","Adenocarcinoma",37,"","",2.62673684210526
"ACH-000486","KU1919","KU1919_URINARY_TRACT","",907312,"urinary_tract","bladder_carcinoma","bladder_transitional_cell","","Male","DSMZ",2,-4.256240039,"Adherent","RPMI; 10%heat inactive FBS","33.3","CVCL_1344","urinary_tract","","Bladder Cancer","Transitional Cell Carcinoma",76,"SIDM01033","",2.80836842105263
"ACH-000487","F36P","F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"blood","AML","M6","","Male","DSMZ",2,-4.31822383,"Suspension","RPMI; 20% FBS; 10 ng/ml GM-CSF","17.7","CVCL_2037","pleural_effusion","Metastasis","Leukemia","Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",68,"","",4.32057894736842
"ACH-000488","TE11","TE11_OESOPHAGUS","",946354,"esophagus","esophagus_squamous","","","Male","RIKEN",2,-4.859440458,"Adherent","RPMI-1640: 10% FBS","5.1","CVCL_1761","oesophagus","Primary","Esophageal Cancer","Squamous Cell Carcinoma",58,"SIDM00348","",3.41031578947368
"ACH-000489","SW1116","SW1116_LARGE_INTESTINE","",909746,"colorectal","colorectal_adenocarcinoma","","","Male","ATCC",NA,NA,"","","","CVCL_0544","Colon","Primary","Colon/Colorectal Cancer","Adenocarcinoma",73,"SIDM00835","",3.43047368421053
"ACH-000490","SF767","SF767_CENTRAL_NERVOUS_SYSTEM","",NA,"central_nervous_system","glioma","astrocytoma","","Female","Academic lab",2,-5.096891033,"Adherent","DMEM; 10% FBS","8.2","CVCL_6950","stomach","Metastasis","Brain Cancer","Astrocytoma",NA,"SIDM00626","",3.43018421052632
"ACH-000491","NCIH716","NCIH716_LARGE_INTESTINE","",908458,"colorectal","colorectal_adenocarcinoma","","","Male","ATCC",3,-2.708090973,"Semi-adherent","RPMI; 10% FBS","8","CVCL_1581","ascites","Metastasis","Colon/Colorectal Cancer","Adenocarcinoma",33,"SIDM00779","",2.24207894736842
"ACH-000492","MUTZ5","MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"blood","ALL","b_cell","","Male","DSMZ",NA,NA,"","","","CVCL_1873","haematopoietic_and_lymphoid_tissue","","Leukemia","Acute Lymphoblastic Leukemia (ALL), B-cell",26,"","",3.98378947368421
"ACH-000493","SNU423","SNU423_LIVER","",909737,"liver","hepatocellular_carcinoma","","","Male","ATCC",1,-3.240855014,"Adherent","RPMI; 10% FBS","16.7","CVCL_0366","liver","Primary","Liver Cancer","Hepatocellular Carcinoma",40,"SIDM01199","",3.17623684210526
"ACH-000494","OELE","OELE_OVARY","OEL(E)",NA,"engineered_ovary","","","","Unknown","Academic lab",NA,NA,"","","","CVCL_IW56","ovary","","Engineered","",NA,"","",3.50268421052632
"ACH-000495","TUHR4TKB","TUHR4TKB_KIDNEY","",NA,"kidney","renal_cell_carcinoma","","","Male","RIKEN",1,-3.398401852,"Adherent","DMEM;10% FBS;","22.8","CVCL_5957","kidney","Primary","Kidney Cancer","Renal Cell Carcinoma",60,"","",3.66060526315789
"ACH-000496","NCIH1792","NCIH1792_LUNG","",724868,"lung","NSCLC","NSCLC_adenocarcinoma","","Male","ATCC",4,-4.207949043,"Adherent","RPMI; 10% FBS","14.3","CVCL_1495","pleural_effusion","Metastasis","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",50,"SIDM00771","",3.56842105263158
"ACH-000498","KO52","KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",1330932,"blood","AML","M2","","Male","HSRRB",1,-1.051070158,"Suspension","Alpha-MEM (minimum essential medium alpha) with 10% heat-inactivated fetal bovine serum","0.4","CVCL_1321","bone_marrow","","Leukemia","Acute Myelogenous Leukemia (AML), M2 (Myeloblastic)",46,"SIDM00018","",3.48502631578947
"ACH-000499","EW8","EW8_BONE","",NA,"bone","Ewing_sarcoma","","EWS_FLI","Male","Academic lab",2,-2.872731124,"Adherent","DMEM; 10% FBS; 2mM L-glutamine","43.2","CVCL_V618","bone","","Bone Cancer","Ewings Sarcoma",NA,"","",2.84786842105263
"ACH-000500","SNU46","SNU46_UPPER_AERODIGESTIVE_TRACT","",NA,"upper_aerodigestive","upper_aerodigestive_squamous","laryngeal","","Male","KCLB",2,-1.40797428,"Adherent","90% RPMI1640 with L-glutamine (300mg/L), 25mM HEPES and 25mM NaHCO3 + 10% h.i. FBS","49.7","CVCL_5063","upper_aerodigestive_tract","","Head and Neck Cancer","Squamous Cell Carcinoma, laryngeal",66,"","",3.98215789473684
"ACH-000501","LS123","LS123_LARGE_INTESTINE","",907792,"colorectal","colorectal_adenocarcinoma","","","Female","ATCC",NA,NA,"","","","CVCL_1383","Colon","Primary","Colon/Colorectal Cancer","Adenocarcinoma",65,"SIDM00776","",5.6408947368421
"ACH-000502","TCCPAN2","TCCPAN2_PANCREAS","",NA,"pancreas","exocrine","exocrine_adenocarcinoma","","Female","HSRRB",3,-4.725096939,"Adherent","RPMI-1640: 10%FBS","16.3","CVCL_3178","ascites","Metastasis","Pancreatic Cancer","Ductal Adenocarcinoma, exocrine",68,"","",3.78965789473684
"ACH-000503","BICR16","BICR16_UPPER_AERODIGESTIVE_TRACT","",NA,"upper_aerodigestive","upper_aerodigestive_squamous","oral","","Male","ECACC",2,-2.456833166,"Adherent","DMEM;10% FBS;","26.3","CVCL_2308","upper_aerodigestive_tract","Primary","Head and Neck Cancer","Squamous Cell Carcinoma, oral",NA,"","",2.59523684210526
"ACH-000504","SNB75","SNB75_CENTRAL_NERVOUS_SYSTEM","",905982,"central_nervous_system","glioma","","","Female","Academic lab",2,-3.758656499,"Adherent","RPMI-1640: 95.0%;5%FBS","32.3","CVCL_1706","central_nervous_system","Primary","Brain Cancer","Glioma",NA,"SIDM00095","",5.56742105263158
"ACH-000505","RKN","RKN_SOFT_TISSUE","",1298539,"soft_tissue","leiomyosarcoma","","","Female","HSRRB",2,-5.017837643,"Adherent","HamsF12; 10% FBS","17.8","CVCL_3156","ovary","Primary","Sarcoma","Leiomyosarcoma",45,"SIDM00353","",3.0235
"ACH-000506","NCIH146","NCIH146_LUNG","",910899,"lung","SCLC","","","Male","ATCC",NA,NA,"","","","CVCL_1473","bone_marrow","Metastasis","Lung Cancer","Small Cell Lung Cancer (SCLC)",59,"SIDM00698","",2.00939473684211
"ACH-000507","KE39","KE39_STOMACH","",NA,"gastric","gastric_adenocarcinoma","","","Male","RIKEN",2,-4.184025082,"Adherent","RPMI-1640: 10%FBS","30","CVCL_3385","lymph_node","Metastasis","Gastric Cancer","Adenocarcinoma",77,"","",2.62686842105263
"ACH-000508","CORL88","CORL88_LUNG","",906808,"lung","SCLC","","","Male","ECACC",NA,NA,"","","","CVCL_1141","pleural_effusion","Metastasis","Lung Cancer","Small Cell Lung Cancer (SCLC)",55,"SIDM00506","",2.43326315789474
"ACH-000509","HUT78","HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"lymphocyte","non_hodgkin_lymphoma","t_cell_cutaneous","","Male","ATCC",NA,NA,"","","","CVCL_0337","haematopoietic_and_lymphoid_tissue","","Lymphoma","T-cell, Non-Hodgkins, Cutaneous",53,"SIDM00851","",4.52242105263158
"ACH-000510","NCIH1299","NCIH1299_LUNG","",724831,"lung","NSCLC","NSCLC_large_cell","","Male","ATCC",2,-5.207314737,"Adherent","RPMI; 10% FBS","35.2","CVCL_0060","lymph_node","Metastasis","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",43,"SIDM00649","",2.44315789473684
"ACH-000511","CALU1","CALU1_LUNG","",NA,"lung","NSCLC","NSCLC_squamous","","Male","ATCC",2,-4.923114127,"Adherent","McCoy's 5A; 10% FBS","21.3","CVCL_0608","pleura","Metastasis","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",47,"","",3.98897368421053
"ACH-000512","INA6","INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","INA-6",NA,"plasma_cell","multiple_myeloma","","","Male","Academic lab",1,-2.184557364,"Suspension","RPMI; 20%FBS; 5 ng/mL IL-6","1.5","CVCL_5209","pleural_effusion","","Myeloma","Multiple Myeloma",NA,"","",3.32802631578947
"ACH-000513","SNU1272","SNU1272_KIDNEY","",NA,"kidney","renal_cell_carcinoma","clear_cell","","Female","KCLB",NA,NA,"","","","CVCL_8788","kidney","","Kidney Cancer","Renal Carcinoma, clear cell",63,"","",3.43915789473684
"ACH-000514","NCIH1092","NCIH1092_LUNG","",687997,"lung","SCLC","","","Male","ATCC",2,-3.529716272,"Suspension","RPMI-1640: 5%FBS,Hydrocortisone: 10.0 nM, L-glutamine: 2.0 mM, beta-estradiol: 10.0 nM, Insulin-Transferrin-Selenium: 5.0 ml","31.3","CVCL_1454","bone_marrow","Metastasis","Lung Cancer","Small Cell Lung Cancer (SCLC)",67,"SIDM00653","",2.18402631578947
"ACH-000515","HCC33","HCC33_LUNG","",1303901,"lung","SCLC","","","Male","DSMZ",NA,NA,"","","","CVCL_2058","pleural_effusion","Metastasis","Lung Cancer","Small Cell Lung Cancer (SCLC)",52,"SIDM01071","",1.94592105263158
"ACH-000516","CAL78","CAL78_BONE","",1290765,"bone","chondrosarcoma","","","Male","DSMZ",2,-5.56636951,"Adherent","RPMI-1640: 80.0%","33.4","CVCL_1809","soft_tissue","","Bone Cancer","Chondrosarcoma",76,"SIDM00929","",3.68402631578947
"ACH-000517","SNU410","SNU410_PANCREAS","",NA,"pancreas","exocrine","exocrine_adenocarcinoma","","Male","KCLB",3,-5.935396342,"Adherent","RPMI-1640: 10%FBS","18.6","CVCL_5059","liver","Metastasis","Pancreatic Cancer","Ductal Adenocarcinoma, exocrine",53,"","",5.24805263157895
"ACH-000518","CAL33","CAL33_UPPER_AERODIGESTIVE_TRACT","",753541,"upper_aerodigestive","upper_aerodigestive_squamous","oral","","Male","DSMZ",2,-3.465460064,"","DMEM;10% FBS;","14.3","CVCL_1108","upper_aerodigestive_tract","Primary","Head and Neck Cancer","Squamous Cell Carcinoma, oral",69,"SIDM00942","",5.15797368421053
"ACH-000519","PEER","PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"blood","ALL","t_cell","","Female","HSRRB",NA,NA,"","","","CVCL_1913","haematopoietic_and_lymphoid_tissue","","Leukemia","Acute Lymphoblastic Leukemia (ALL), T-cell",4,"SIDM00991","",3.71065789473684
"ACH-000520","59M","59M_OVARY","",NA,"ovary","ovary_adenocarcinoma","high_grade_serous","","Female","ECACC",2,-3.65997253,"Adherent","DMEM; 10% FBS + 2 mM Glutamine, sodium pyruvate, ITS","5.7","CVCL_2291","ascites","Metastasis","Ovarian Cancer","Adenocarcinoma, high grade serous",NA,"","",3.74402631578947
"ACH-000521","NCIH2030","NCIH2030_LUNG","",722045,"lung","NSCLC","NSCLC_adenocarcinoma","","Male","ATCC",3,-3.112933529,"Adherent","RPMI; 10% FBS","14.2","CVCL_1517","lymph_node","Metastasis","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",NA,"SIDM00715","",3.17497368421053
"ACH-000522","UMUC3","UMUC3_URINARY_TRACT","",724838,"urinary_tract","bladder_carcinoma","bladder_transitional_cell","","Male","ATCC",2,-5.129862324,"Adherent","EMEM; 10% FBS","11.7","CVCL_1783","urinary_tract","Primary","Bladder Cancer","Transitional Cell Carcinoma",NA,"SIDM01182","",2.57005263157895
"ACH-000523","NCIH1184","NCIH1184_LUNG","H1184",NA,"lung","SCLC","","","Male","ATCC",NA,NA,"","","","CVCL_1458","lymph_node","Metastasis","Lung Cancer","Small Cell Lung Cancer (SCLC)",42,"","",2.35421052631579
"ACH-000524","KURAMOCHI","KURAMOCHI_OVARY","",909975,"ovary","ovary_adenocarcinoma","high_grade_serous","","Female","HSRRB",3,-6.022282442,"Adherent","RPMI; 10% FBS","47.9","CVCL_1345","ascites","Metastasis","Ovarian Cancer","Adenocarcinoma, high grade serous",NA,"SIDM00554","",3.65847368421053
"ACH-000525","NCIH2171","NCIH2171_LUNG","H2171",688015,"lung","SCLC","","","Male","ATCC",NA,NA,"","","","CVCL_1536","pleural_effusion","Metastasis","Lung Cancer","Small Cell Lung Cancer (SCLC)",50,"SIDM00733","",1.96231578947368
"ACH-000526","HS821T","HS821T_FIBROBLAST","",NA,"fibroblast","fibroblast_bone","","","Female","ATCC",NA,NA,"","","","CVCL_0932","fibroblast","Primary","Fibroblast","Bone",31,"","",3.12178947368421
"ACH-000527","OVISE","OVISE_OVARY","",1240198,"ovary","ovary_adenocarcinoma","clear_cell","","Female","HSRRB",3,-5.804772285,"Adherent","RPMI; 10% FBS","31.8","CVCL_3116","bone","Metastasis","Ovarian Cancer","Adenocarcinoma, clear cell",40,"SIDM00564","",3.71273684210526
"ACH-000528","ABC1","ABC1_LUNG","",906791,"lung","NSCLC","NSCLC_adenocarcinoma","","Male","HSRRB",3,-5.804387127,"Adherent","EMEM; 10% FBS","22.5","CVCL_1066","pleural_effusion","Metastasis","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",47,"SIDM00494","",2.55247368421053
"ACH-000529","T173","T173_FIBROBLAST","",NA,"fibroblast","fibroblast_bone","","","Unknown","ATCC",NA,NA,"","","","CVCL_3605","fibroblast","","Fibroblast","Bone",NA,"","",3.05052631578947
"ACH-000530","DMS114","DMS114_LUNG","",687983,"lung","SCLC","","","Male","ATCC",NA,NA,"","","","CVCL_1174","lung","Primary","Lung Cancer","Small Cell Lung Cancer (SCLC)",68,"SIDM00865","",2.61944736842105
"ACH-000531","RS5","RS5_FIBROBLAST","",NA,"fibroblast","fibroblast_lung","","","Male","DSMZ",NA,NA,"","","","CVCL_2182","fibroblast","","Fibroblast","Lung",78,"","",2.88313157894737
"ACH-000532","SNU61","SNU61_LARGE_INTESTINE","",1660035,"colorectal","colorectal_adenocarcinoma","","","Male","KCLB",NA,NA,"","","","CVCL_5078","liver","Metastasis","Colon/Colorectal Cancer","Adenocarcinoma",48,"SIDM00194","",3.82102631578947
"ACH-000533","NCIH2004RT","NCIH2004RT_SOFT_TISSUE","",NA,"soft_tissue","malignant_rhabdoid_tumor","","","Unknown","Academic lab",NA,NA,"","","","CVCL_WS70","soft_tissue","","Rhabdoid","Malignant Rhabdoid Tumor",NA,"","",3.21792105263158
