CCLE_ID,depMapID,CCLE.hc.msi_del,CCLE.hc.total_del,CCLE.wes.msi_del,CCLE.wes.total_del,CCLE.wgs.msi_del,CCLE.wgs.total_del,GDSC.wes.msi_del,GDSC.wes.total_del,GDSC.msi.call,CCLE.MSI.call
ECGI10_OESOPHAGUS,ACH-000305,54,84,NA,NA,NA,NA,764,1154,MSS/MSI-L,inferred-MSS
SNU761_LIVER,ACH-000537,31,54,390,668,NA,NA,NA,NA,NA,inferred-MSS
SNU61_LARGE_INTESTINE,ACH-000532,93,129,321,544,NA,NA,890,1356,MSS/MSI-L,inferred-MSS
NCIH1915_LUNG,ACH-000434,79,106,NA,NA,NA,NA,635,999,MSS/MSI-L,inferred-MSS
YD10B_UPPER_AERODIGESTIVE_TRACT,ACH-000723,69,106,429,705,NA,NA,NA,NA,NA,inferred-MSS
HCC2279_LUNG,ACH-000731,43,70,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
TUHR10TKB_KIDNEY,ACH-000459,54,86,403,710,NA,NA,NA,NA,NA,inferred-MSS
VMRCLCP_LUNG,ACH-001234,45,78,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
SNU1077_ENDOMETRIUM,ACH-000302,39,65,602,966,NA,NA,NA,NA,NA,inferred-MSS
SNU213_PANCREAS,ACH-000266,54,91,371,645,NA,NA,NA,NA,NA,inferred-MSS
HT115_LARGE_INTESTINE,ACH-000986,32,46,NA,NA,14717,28803,1324,1919,MSS/MSI-L,inferred-MSS
TE14_OESOPHAGUS,ACH-000726,47,69,309,526,NA,NA,NA,NA,NA,inferred-MSS
TE8_OESOPHAGUS,ACH-000452,30,41,NA,NA,NA,NA,758,1178,MSS/MSI-L,inferred-MSS
JHUEM3_ENDOMETRIUM,ACH-000173,79,124,313,579,NA,NA,NA,NA,NA,inferred-MSS
LI7_LIVER,ACH-000471,24,43,357,637,NA,NA,NA,NA,NA,inferred-MSS
NCIH838_LUNG,ACH-000416,33,45,NA,NA,9007,19573,759,1119,MSS/MSI-L,inferred-MSS
SNU119_OVARY,ACH-000635,54,88,NA,NA,12416,27419,NA,NA,NA,inferred-MSS
SNU1033_LARGE_INTESTINE,ACH-000286,49,72,287,457,NA,NA,NA,NA,NA,inferred-MSS
GSS_STOMACH,ACH-000746,62,91,397,665,NA,NA,NA,NA,NA,inferred-MSS
TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000197,90,132,NA,NA,NA,NA,1040,1648,MSS/MSI-L,inferred-MSS
HCC1171_LUNG,ACH-000578,37,49,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
U138MG_CENTRAL_NERVOUS_SYSTEM,ACH-001214,40,58,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
SNU620_STOMACH,ACH-000325,54,77,383,683,NA,NA,NA,NA,NA,inferred-MSS
ECC12_STOMACH,ACH-000225,51,74,NA,NA,NA,NA,914,1362,MSS/MSI-L,inferred-MSS
GSU_STOMACH,ACH-000485,38,68,389,674,NA,NA,NA,NA,NA,inferred-MSS
KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000658,104,147,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
JHOM2B_OVARY,ACH-000333,51,73,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
MDAMB231_BREAST,ACH-000768,43,64,NA,NA,12501,28062,725,1167,MSS/MSI-L,inferred-MSS
OV90_OVARY,ACH-000291,88,131,294,537,11957,26699,614,968,MSS/MSI-L,inferred-MSS
OVTOKO_OVARY,ACH-000663,52,95,379,713,NA,NA,949,1505,MSS/MSI-L,inferred-MSS
OVCAR4_OVARY,ACH-000617,94,130,NA,NA,9480,20636,691,1013,MSS/MSI-L,inferred-MSS
HLF_LIVER,ACH-000393,97,133,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
SW1463_LARGE_INTESTINE,ACH-000470,52,67,NA,NA,NA,NA,712,1055,MSS/MSI-L,inferred-MSS
SF295_CENTRAL_NERVOUS_SYSTEM,ACH-000376,49,74,231,423,12182,27151,844,1286,MSS/MSI-L,inferred-MSS
WM115_SKIN,ACH-000304,46,60,NA,NA,NA,NA,782,1170,MSS/MSI-L,inferred-MSS
JHH4_LIVER,ACH-000476,51,80,NA,NA,NA,NA,746,1189,MSS/MSI-L,inferred-MSS
OE33_OESOPHAGUS,ACH-000383,69,105,NA,NA,NA,NA,724,1086,MSS/MSI-L,inferred-MSS
JHH1_LIVER,ACH-000620,40,60,NA,NA,15315,34560,921,1417,MSS/MSI-L,inferred-MSS
SJSA1_BONE,ACH-000748,100,169,NA,NA,NA,NA,1355,2273,MSS/MSI-L,inferred-MSS
NCIH2228_LUNG,ACH-000447,47,73,NA,NA,11936,26693,626,991,MSS/MSI-L,inferred-MSS
RERFLCAI_LUNG,ACH-000261,45,59,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
SKMES1_LUNG,ACH-000665,38,52,NA,NA,8511,19265,620,943,MSS/MSI-L,inferred-MSS
NCIH520_LUNG,ACH-000395,53,73,NA,NA,10651,23228,479,738,MSS/MSI-L,inferred-MSS
JHH5_LIVER,ACH-000734,82,127,319,574,NA,NA,NA,NA,NA,inferred-MSS
FU97_STOMACH,ACH-000633,64,88,NA,NA,10552,23998,1103,1653,MSS/MSI-L,inferred-MSS
COLO800_SKIN,ACH-000401,NA,NA,NA,NA,NA,NA,711,1092,MSS/MSI-L,inferred-MSS
NCIH1963_LUNG,ACH-000729,87,121,NA,NA,21527,50398,1162,1922,MSS/MSI-L,inferred-MSS
J82_URINARY_TRACT,ACH-000396,47,67,NA,NA,NA,NA,813,1248,MSS/MSI-L,inferred-MSS
HCC15_LUNG,ACH-000878,101,140,NA,NA,23561,53911,1365,2169,MSS/MSI-L,inferred-MSS
M059K_CENTRAL_NERVOUS_SYSTEM,ACH-000152,50,86,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
CALU6_LUNG,ACH-000264,43,52,NA,NA,10030,21910,711,1068,MSS/MSI-L,inferred-MSS
SKLU1_LUNG,ACH-000309,61,71,NA,NA,8396,18404,642,958,MSS/MSI-L,inferred-MSS
SW900_LUNG,ACH-000669,39,52,NA,NA,8620,19884,459,752,MSS/MSI-L,inferred-MSS
UACC62_SKIN,ACH-000425,66,93,NA,NA,NA,NA,702,1120,MSS/MSI-L,inferred-MSS
MFE280_ENDOMETRIUM,ACH-000192,66,94,NA,NA,10090,22737,833,1231,MSS/MSI-L,inferred-MSS
GOS3_CENTRAL_NERVOUS_SYSTEM,ACH-000027,53,77,296,473,NA,NA,NA,NA,NA,inferred-MSS
GI1_CENTRAL_NERVOUS_SYSTEM,ACH-000756,47,72,NA,NA,13042,29730,819,1296,MSS/MSI-L,inferred-MSS
PC14_LUNG,ACH-000030,23,44,NA,NA,11376,26003,844,1291,MSS/MSI-L,inferred-MSS
KYSE410_OESOPHAGUS,ACH-000809,59,85,NA,NA,11535,25741,799,1220,MSS/MSI-L,inferred-MSS
A204_SOFT_TISSUE,ACH-000201,56,87,NA,NA,12851,28486,646,1060,MSS/MSI-L,inferred-MSS
PATU8902_PANCREAS,ACH-000599,43,57,324,516,NA,NA,812,1188,MSS/MSI-L,inferred-MSS
NCIH810_LUNG,ACH-000789,130,188,NA,NA,NA,NA,1139,1842,MSS/MSI-L,inferred-MSS
RERFLCMS_LUNG,ACH-000062,30,43,NA,NA,10372,24118,636,1001,MSS/MSI-L,inferred-MSS
L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000702,59,92,341,583,NA,NA,510,789,MSS/MSI-L,inferred-MSS
DANG_PANCREAS,ACH-000243,63,81,NA,NA,10659,23161,424,662,MSS/MSI-L,inferred-MSS
NCIH460_LUNG,ACH-000463,51,72,NA,NA,10987,24540,563,869,MSS/MSI-L,inferred-MSS
KYSE140_OESOPHAGUS,ACH-000823,72,96,NA,NA,NA,NA,820,1270,MSS/MSI-L,inferred-MSS
KYSE180_OESOPHAGUS,ACH-000693,90,122,NA,NA,10736,24475,761,1146,MSS/MSI-L,inferred-MSS
HUPT3_PANCREAS,ACH-000118,58,80,NA,NA,NA,NA,643,1030,MSS/MSI-L,inferred-MSS
EFE184_ENDOMETRIUM,ACH-000435,50,68,272,456,NA,NA,NA,NA,NA,inferred-MSS
GCIY_STOMACH,ACH-000047,57,75,NA,NA,10719,24473,771,1212,MSS/MSI-L,inferred-MSS
SH10TC_STOMACH,ACH-000764,55,82,382,635,13105,30748,NA,NA,NA,inferred-MSS
CAOV4_OVARY,ACH-000103,51,73,NA,NA,NA,NA,654,974,MSS/MSI-L,inferred-MSS
HCC2218_BREAST,ACH-000755,68,93,NA,NA,NA,NA,992,1521,MSS/MSI-L,inferred-MSS
KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000598,40,70,378,673,NA,NA,NA,NA,NA,inferred-MSS
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000588,64,95,385,702,NA,NA,NA,NA,NA,inferred-MSS
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000576,54,82,310,566,NA,NA,NA,NA,NA,inferred-MSS
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000498,61,95,NA,NA,NA,NA,648,1093,MSS/MSI-L,inferred-MSS
KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000419,48,69,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
KNS60_CENTRAL_NERVOUS_SYSTEM,ACH-000445,48,72,324,521,NA,NA,NA,NA,NA,inferred-MSS
KNS81_CENTRAL_NERVOUS_SYSTEM,ACH-000479,78,111,NA,NA,15844,34766,NA,NA,NA,inferred-MSS
KPNSI9S_AUTONOMIC_GANGLIA,ACH-000446,81,109,316,557,NA,NA,NA,NA,NA,inferred-MSS
LU99_LUNG,ACH-000444,64,93,NA,NA,13227,29934,920,1404,MSS/MSI-L,inferred-MSS
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000541,33,62,459,793,NA,NA,NA,NA,NA,inferred-MSS
MKN1_STOMACH,ACH-000351,41,61,NA,NA,13495,29733,700,1094,MSS/MSI-L,inferred-MSS
MKN74_STOMACH,ACH-000758,56,76,367,580,11486,25687,NA,NA,NA,inferred-MSS
KP3_PANCREAS,ACH-000108,36,51,NA,NA,NA,NA,1171,1727,MSS/MSI-L,inferred-MSS
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000076,90,115,300,473,NA,NA,NA,NA,NA,inferred-MSS
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000564,48,73,313,528,NA,NA,NA,NA,NA,inferred-MSS
HSC2_UPPER_AERODIGESTIVE_TRACT,ACH-000472,50,80,NA,NA,NA,NA,1019,1559,MSS/MSI-L,inferred-MSS
KG1C_CENTRAL_NERVOUS_SYSTEM,ACH-000126,67,81,242,360,NA,NA,NA,NA,NA,inferred-MSS
HUH7_LIVER,ACH-000480,41,72,NA,NA,NA,NA,833,1275,MSS/MSI-L,inferred-MSS
KMBC2_URINARY_TRACT,ACH-000862,62,84,362,647,NA,NA,NA,NA,NA,inferred-MSS
KMRC20_KIDNEY,ACH-000250,43,73,NA,NA,NA,NA,532,882,MSS/MSI-L,inferred-MSS
HUCCT1_BILIARY_TRACT,ACH-000976,59,98,NA,NA,NA,NA,830,1251,MSS/MSI-L,inferred-MSS
KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000773,69,105,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000157,86,131,NA,NA,NA,NA,847,1347,MSS/MSI-L,inferred-MSS
KALS1_CENTRAL_NERVOUS_SYSTEM,ACH-000231,45,72,NA,NA,15335,33393,857,1337,MSS/MSI-L,inferred-MSS
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000005,65,98,NA,NA,12587,27636,NA,NA,NA,inferred-MSS
HUH28_BILIARY_TRACT,ACH-000808,34,53,313,518,NA,NA,NA,NA,NA,inferred-MSS
CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-001036,50,82,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
CAL12T_LUNG,ACH-000826,77,117,NA,NA,NA,NA,666,1042,MSS/MSI-L,inferred-MSS
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000146,60,90,NA,NA,15199,33502,639,1034,MSS/MSI-L,inferred-MSS
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000697,74,100,NA,NA,19106,38960,1177,1650,MSS/MSI-L,inferred-MSS
SKNSH_AUTONOMIC_GANGLIA,ACH-000149,24,37,NA,NA,NA,NA,1093,1687,MSS/MSI-L,inferred-MSS
HCC1954_BREAST,ACH-000859,58,87,NA,NA,14985,33190,1251,1886,MSS/MSI-L,inferred-MSS
CAMA1_BREAST,ACH-000783,46,75,NA,NA,11988,26403,704,1077,MSS/MSI-L,inferred-MSS
AM38_CENTRAL_NERVOUS_SYSTEM,ACH-000269,54,76,NA,NA,NA,NA,911,1388,MSS/MSI-L,inferred-MSS
HEC50B_ENDOMETRIUM,ACH-000831,51,72,343,563,NA,NA,NA,NA,NA,inferred-MSS
HSC3_UPPER_AERODIGESTIVE_TRACT,ACH-000778,60,90,NA,NA,12850,29344,1024,1602,MSS/MSI-L,inferred-MSS
HSC4_UPPER_AERODIGESTIVE_TRACT,ACH-000546,47,81,352,643,NA,NA,669,1055,MSS/MSI-L,inferred-MSS
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000714,75,111,402,710,12244,28873,925,1414,NA,inferred-MSS
KP4_PANCREAS,ACH-000265,72,105,NA,NA,NA,NA,575,917,MSS/MSI-L,inferred-MSS
KE39_STOMACH,ACH-000507,63,87,352,590,11290,26437,NA,NA,NA,inferred-MSS
COV504_OVARY,ACH-001048,50,83,266,470,NA,NA,NA,NA,NA,inferred-MSS
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000167,53,80,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
VMRCRCW_KIDNEY,ACH-000484,46,74,NA,NA,NA,NA,772,1178,MSS/MSI-L,inferred-MSS
HGC27_STOMACH,ACH-000847,72,93,NA,NA,10474,23225,830,1204,MSS/MSI-L,inferred-MSS
LUDLU1_LUNG,ACH-000390,42,65,286,512,NA,NA,NA,NA,NA,inferred-MSS
HUG1N_STOMACH,ACH-000239,32,54,320,537,NA,NA,NA,NA,NA,inferred-MSS
U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000626,72,97,NA,NA,NA,NA,826,1230,MSS/MSI-L,inferred-MSS
NUGC4_STOMACH,ACH-000674,38,52,333,586,12884,30062,707,1132,MSS/MSI-L,inferred-MSS
HMC18_BREAST,ACH-000721,52,72,357,598,NA,NA,NA,NA,NA,inferred-MSS
CAS1_CENTRAL_NERVOUS_SYSTEM,ACH-000464,60,87,NA,NA,12718,28105,697,1100,MSS/MSI-L,inferred-MSS
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000889,37,55,435,700,NA,NA,NA,NA,NA,inferred-MSS
CORL23_LUNG,ACH-000662,42,63,NA,NA,9882,21266,885,1284,MSS/MSI-L,inferred-MSS
MORCPR_LUNG,ACH-000851,56,72,275,435,NA,NA,NA,NA,NA,inferred-MSS
HARA_LUNG,ACH-000843,64,91,NA,NA,12718,28949,746,1146,MSS/MSI-L,inferred-MSS
HPAFII_PANCREAS,ACH-000094,53,76,NA,NA,NA,NA,844,1253,MSS/MSI-L,inferred-MSS
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000583,69,95,NA,NA,NA,NA,921,1460,MSS/MSI-L,inferred-MSS
NCIH1568_LUNG,ACH-000869,48,66,NA,NA,NA,NA,706,1108,MSS/MSI-L,inferred-MSS
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000440,67,112,NA,NA,NA,NA,1169,1880,MSS/MSI-L,inferred-MSS
A498_KIDNEY,ACH-000555,39,60,NA,NA,NA,NA,859,1315,MSS/MSI-L,inferred-MSS
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000923,30,39,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
A673_BONE,ACH-000052,71,105,NA,NA,NA,NA,493,802,MSS/MSI-L,inferred-MSS
AU565_BREAST,ACH-000248,35,51,NA,NA,11989,27238,648,1088,MSS/MSI-L,inferred-MSS
COLO201_LARGE_INTESTINE,ACH-000253,32,51,272,449,11167,25086,NA,NA,NA,inferred-MSS
CAPAN1_PANCREAS,ACH-000354,41,62,NA,NA,10664,23885,604,952,MSS/MSI-L,inferred-MSS
NCIH1563_LUNG,ACH-000892,62,88,NA,NA,NA,NA,1273,1924,MSS/MSI-L,inferred-MSS
NCIH358_LUNG,ACH-000860,56,79,NA,NA,13735,31090,600,999,MSS/MSI-L,inferred-MSS
CFPAC1_PANCREAS,ACH-000138,54,81,NA,NA,NA,NA,782,1184,MSS/MSI-L,inferred-MSS
NIHOVCAR3_OVARY,ACH-000001,45,62,NA,NA,12055,26929,811,1203,MSS/MSI-L,inferred-MSS
NCIH1650_LUNG,ACH-000035,42,60,NA,NA,6129,14106,590,901,MSS/MSI-L,inferred-MSS
NCIH1793_LUNG,ACH-000888,62,94,NA,NA,14684,34072,664,1093,MSS/MSI-L,inferred-MSS
NCIH1437_LUNG,ACH-000589,51,68,NA,NA,9214,21000,623,966,MSS/MSI-L,inferred-MSS
KNS62_LUNG,ACH-000858,80,103,NA,NA,10823,24814,1026,1536,MSS/MSI-L,inferred-MSS
HS578T_BREAST,ACH-000148,65,91,296,482,NA,NA,897,1335,MSS/MSI-L,inferred-MSS
BT20_BREAST,ACH-000536,60,80,NA,NA,9631,20959,563,837,MSS/MSI-L,inferred-MSS
SNU182_LIVER,ACH-000483,58,87,NA,NA,12780,29763,761,1184,MSS/MSI-L,inferred-MSS
SKNMC_BONE,ACH-000039,47,63,301,528,NA,NA,NA,NA,NA,inferred-MSS
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000061,69,98,NA,NA,NA,NA,922,1413,MSS/MSI-L,inferred-MSS
FADU_UPPER_AERODIGESTIVE_TRACT,ACH-000846,57,73,NA,NA,9739,22370,925,1353,MSS/MSI-L,inferred-MSS
SJRH30_SOFT_TISSUE,ACH-001189,65,105,NA,NA,NA,NA,829,1294,MSS/MSI-L,inferred-MSS
MDAMB361_BREAST,ACH-000934,62,100,NA,NA,13328,31135,692,1117,MSS/MSI-L,inferred-MSS
MDAMB436_BREAST,ACH-000573,45,63,229,354,NA,NA,462,694,MSS/MSI-L,inferred-MSS
PANC0213_PANCREAS,ACH-000031,51,77,340,563,NA,NA,NA,NA,NA,inferred-MSS
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000334,30,53,NA,NA,10846,24723,776,1227,MSS/MSI-L,inferred-MSS
RDES_BONE,ACH-000041,83,114,274,480,NA,NA,NA,NA,NA,inferred-MSS
CAL27_UPPER_AERODIGESTIVE_TRACT,ACH-000832,37,59,NA,NA,9169,21117,822,1239,MSS/MSI-L,inferred-MSS
MESSA_SOFT_TISSUE,ACH-000449,86,132,NA,NA,NA,NA,980,1460,MSS/MSI-L,inferred-MSS
SW1271_LUNG,ACH-000890,69,96,318,563,9209,22036,462,736,MSS/MSI-L,inferred-MSS
NCIH1792_LUNG,ACH-000496,31,57,NA,NA,10195,22559,668,1035,MSS/MSI-L,inferred-MSS
GCT_SOFT_TISSUE,ACH-000835,42,71,NA,NA,NA,NA,914,1368,MSS/MSI-L,inferred-MSS
SKBR3_BREAST,ACH-000017,39,63,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
SNU16_STOMACH,ACH-000581,71,103,NA,NA,13006,29130,810,1315,MSS/MSI-L,inferred-MSS
NCIH82_LUNG,ACH-000355,78,102,NA,NA,8597,19858,715,1061,MSS/MSI-L,inferred-MSS
NCIN87_STOMACH,ACH-000427,116,155,NA,NA,22987,52445,912,1532,MSS/MSI-L,inferred-MSS
U2OS_BONE,ACH-000364,69,100,NA,NA,9882,22879,556,903,MSS/MSI-L,inferred-MSS
H4_CENTRAL_NERVOUS_SYSTEM,ACH-000389,64,79,NA,NA,11372,25626,769,1190,MSS/MSI-L,inferred-MSS
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000081,69,98,346,639,NA,NA,904,1373,MSS/MSI-L,inferred-MSS
HCC1143_BREAST,ACH-000374,75,97,321,512,NA,NA,542,827,MSS/MSI-L,inferred-MSS
T24_URINARY_TRACT,ACH-000018,85,116,NA,NA,9147,21101,710,1108,MSS/MSI-L,inferred-MSS
G401_SOFT_TISSUE,ACH-000096,66,98,NA,NA,11567,27271,709,1220,MSS/MSI-L,inferred-MSS
HCC1937_BREAST,ACH-000223,70,94,NA,NA,8927,19144,926,1364,MSS/MSI-L,inferred-MSS
OCUM1_STOMACH,ACH-000247,82,123,NA,NA,13817,31539,835,1284,MSS/MSI-L,inferred-MSS
SAOS2_BONE,ACH-000410,60,88,NA,NA,NA,NA,708,1122,MSS/MSI-L,inferred-MSS
D283MED_CENTRAL_NERVOUS_SYSTEM,ACH-000055,92,127,NA,NA,NA,NA,770,1141,MSS/MSI-L,inferred-MSS
SCC9_UPPER_AERODIGESTIVE_TRACT,ACH-000181,99,140,NA,NA,NA,NA,863,1314,MSS/MSI-L,inferred-MSS
HCC1395_BREAST,ACH-000699,50,74,327,528,NA,NA,718,1037,MSS/MSI-L,inferred-MSS
NMCG1_CENTRAL_NERVOUS_SYSTEM,ACH-000200,62,84,NA,NA,NA,NA,873,1347,MSS/MSI-L,inferred-MSS
TEN_ENDOMETRIUM,ACH-000397,82,118,329,542,NA,NA,NA,NA,NA,inferred-MSS
HS604T_FIBROBLAST,ACH-001093,69,99,309,560,NA,NA,NA,NA,NA,inferred-MSS
TE9_OESOPHAGUS,ACH-000694,72,94,NA,NA,NA,NA,767,1174,MSS/MSI-L,inferred-MSS
KNS42_CENTRAL_NERVOUS_SYSTEM,ACH-000622,49,68,NA,NA,NA,NA,816,1320,MSS/MSI-L,inferred-MSS
KYSE520_OESOPHAGUS,ACH-000637,70,93,NA,NA,11271,24740,751,1144,MSS/MSI-L,inferred-MSS
KYSE270_OESOPHAGUS,ACH-000873,38,49,NA,NA,NA,NA,787,1148,MSS/MSI-L,inferred-MSS
YH13_CENTRAL_NERVOUS_SYSTEM,ACH-000469,44,75,NA,NA,NA,NA,867,1353,MSS/MSI-L,inferred-MSS
IALM_LUNG,ACH-000672,32,48,NA,NA,NA,NA,781,1184,MSS/MSI-L,inferred-MSS
NCIH2052_PLEURA,ACH-000153,97,133,NA,NA,8823,20564,672,993,MSS/MSI-L,inferred-MSS
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-001064,89,147,NA,NA,NA,NA,1478,2367,MSS/MSI-L,inferred-MSS
SKNFI_AUTONOMIC_GANGLIA,ACH-000341,64,106,NA,NA,NA,NA,832,1410,MSS/MSI-L,inferred-MSS
SKNAS_AUTONOMIC_GANGLIA,ACH-000260,63,88,NA,NA,12053,27054,651,1069,MSS/MSI-L,inferred-MSS
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000162,96,142,NA,NA,NA,NA,1860,2754,MSS/MSI-L,inferred-MSS
SNU398_LIVER,ACH-000221,63,87,NA,NA,NA,NA,771,1226,MSS/MSI-L,inferred-MSS
SNU423_LIVER,ACH-000493,62,95,NA,NA,12214,28200,753,1137,MSS/MSI-L,inferred-MSS
SCC4_UPPER_AERODIGESTIVE_TRACT,ACH-000238,63,92,NA,NA,8470,19911,780,1153,MSS/MSI-L,inferred-MSS
HCC1187_BREAST,ACH-000111,42,62,NA,NA,7753,16564,1033,1536,MSS/MSI-L,inferred-MSS
SNU387_LIVER,ACH-000478,24,45,NA,NA,11218,26140,1198,1808,MSS/MSI-L,inferred-MSS
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000786,122,210,NA,NA,NA,NA,2535,4649,MSS/MSI-L,inferred-MSS
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000077,34,66,317,591,NA,NA,NA,NA,NA,inferred-MSS
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000151,44,69,388,650,NA,NA,604,973,MSS/MSI-L,inferred-MSS
C2BBE1_LARGE_INTESTINE,ACH-000009,57,76,NA,NA,8942,20778,744,1113,MSS/MSI-L,inferred-MSS
SKES1_BONE,ACH-000087,61,84,NA,NA,NA,NA,497,781,MSS/MSI-L,inferred-MSS
EPLC272H_LUNG,ACH-000585,50,77,NA,NA,NA,NA,757,1153,MSS/MSI-L,inferred-MSS
BXPC3_PANCREAS,ACH-000535,38,55,NA,NA,NA,NA,812,1226,MSS/MSI-L,inferred-MSS
NCIH1355_LUNG,ACH-000666,66,109,NA,NA,11710,26028,738,1135,MSS/MSI-L,inferred-MSS
SNU5_STOMACH,ACH-000303,77,113,NA,NA,NA,NA,765,1168,MSS/MSI-L,inferred-MSS
SNU475_LIVER,ACH-000422,61,94,NA,NA,11827,27256,1210,1820,MSS/MSI-L,inferred-MSS
HEC251_ENDOMETRIUM,ACH-000996,76,110,429,731,NA,NA,NA,NA,NA,inferred-MSS
HCC95_LUNG,ACH-000454,53,72,NA,NA,9605,21073,NA,NA,NA,inferred-MSS
253J_URINARY_TRACT,ACH-000011,43,63,255,442,NA,NA,NA,NA,NA,inferred-MSS
HCC1438_LUNG,ACH-000891,56,86,916,1503,NA,NA,NA,NA,NA,inferred-MSS
253JBV_URINARY_TRACT,ACH-000026,51,65,416,696,NA,NA,NA,NA,NA,inferred-MSS
RPMI7951_SKIN,ACH-000348,86,112,NA,NA,10402,23370,736,1126,MSS/MSI-L,inferred-MSS
SNU1066_UPPER_AERODIGESTIVE_TRACT,ACH-000682,50,63,466,752,NA,NA,NA,NA,NA,inferred-MSS
SNU1041_UPPER_AERODIGESTIVE_TRACT,ACH-000618,50,77,286,473,NA,NA,NA,NA,NA,inferred-MSS
COLO783_SKIN,ACH-000812,40,59,312,549,NA,NA,551,879,MSS/MSI-L,inferred-MSS
HCC1359_LUNG,ACH-000901,86,121,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,37,55,243,415,NA,NA,629,941,MSS/MSI-L,inferred-MSS
COV362_OVARY,ACH-000278,42,63,NA,NA,9541,21231,NA,NA,NA,inferred-MSS
COLO792_SKIN,ACH-000968,44,79,NA,NA,NA,NA,809,1303,MSS/MSI-L,inferred-MSS
COV434_OVARY,ACH-000123,27,43,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
WM983B_SKIN,ACH-000765,33,59,286,503,NA,NA,NA,NA,NA,inferred-MSS
HS751T_FIBROBLAST,ACH-000165,76,109,359,638,NA,NA,NA,NA,NA,inferred-MSS
LS513_LARGE_INTESTINE,ACH-000007,22,36,NA,NA,13029,28229,781,1186,MSS/MSI-L,inferred-MSS
NCIH2110_LUNG,ACH-000929,63,108,NA,NA,NA,NA,1315,2148,MSS/MSI-L,inferred-MSS
CHAGOK1_LUNG,ACH-000867,28,47,NA,NA,9765,21552,570,884,MSS/MSI-L,inferred-MSS
DMS454_LUNG,ACH-000844,54,78,232,416,10214,24215,NA,NA,NA,inferred-MSS
CORL47_LUNG,ACH-000695,81,119,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
